Le colonne indicano, in ordine: codice ASCII, carattere, occorrenze, codice di Huffman, lunghezza del codice
0	r	6	0000001	7
1	r	8	0110010	7
2	r	9	1000111	7
3	r	9	1000101	7
4	r	12	1110110	7
5	r	8	0110000	7
6	r	9	1001001	7
7	r	15	010000	6
8	r	7	0001011	7
9	r	8	0101010	7
10	r	9	1001100	7
11	r	9	1001010	7
12	r	10	1010101	7
13	r	7	0010011	7
14	r	8	0101101	7
15	r	9	0111011	7
16	r	11	1110010	7
17	r	9	1000100	7
18	r	7	0010111	7
19	r	7	0000110	7
20	r	6	11111101	8
21	r	10	1010000	7
22	r	11	1101111	7
23	r	15	010010	6
24	r	6	11110000	8
25	r	9	1000000	7
26	r	7	0011101	7
27	r	9	1000010	7
28	r	6	11101111	8
29	r	6	11110001	8
30	r	5	10011101	8
31	r	16	010011	6
32	r	10	1010111	7
33	!	15	010001	6
34	r	7	0010110	7
35	#	10	1010010	7
36	$	11	1101000	7
37	%	7	0001110	7
38	&	10	1100011	7
39	'	9	0111100	7
40	(	12	1111010	7
41	)	5	10101000	8
42	*	9	0111101	7
43	+	3	100111001	9
44	,	5	10101001	8
45	-	14	000100	6
46	.	12	1111111	7
47	/	13	000001	6
48	0	10	1100100	7
49	1	14	000110	6
50	2	11	1101101	7
51	3	7	0011001	7
52	4	7	0010010	7
53	5	5	10110110	8
54	6	3	00101000	8
55	7	11	1101010	7
56	8	11	1101011	7
57	9	8	0101100	7
58	:	11	1110100	7
59	;	12	1110101	7
60	<	7	0011110	7
61	=	10	1011111	7
62	>	7	0010000	7
63	?	8	0011111	7
64	@	8	0101110	7
65	A	9	0111010	7
66	B	10	1011000	7
67	C	9	1001000	7
68	D	8	0110110	7
69	E	10	1011001	7
70	F	8	0110111	7
71	G	11	1110011	7
72	H	1	100111000	9
73	I	10	1100010	7
74	J	7	0001111	7
75	K	8	0110011	7
76	L	14	000010	6
77	M	12	1111001	7
78	N	10	1100000	7
79	O	11	1101001	7
80	P	9	1001111	7
81	Q	7	0001010	7
82	R	10	1011110	7
83	S	16	011010	6
84	T	18	011111	6
85	U	6	11111100	8
86	V	8	0101000	7
87	W	11	1101110	7
88	X	7	0000111	7
89	Y	5	11000010	8
90	Z	11	1100110	7
91	[	8	0101001	7
92	\	9	1001101	7
93	]	9	1000110	7
94	^	7	0010101	7
95	_	8	0111000	7
96	`	11	1101100	7
97	a	6	0000000	7
98	b	11	1110001	7
99	c	7	0011000	7
100	d	7	0010001	7
101	e	5	11000011	8
102	f	8	0111001	7
103	g	9	1001011	7
104	h	10	1011010	7
105	i	11	1110000	7
106	j	5	10110111	8
107	k	4	00101001	8
108	l	7	0011100	7
109	m	5	10100110	8
110	n	6	11111010	8
111	o	9	1000001	7
112	p	10	1010110	7
113	q	6	11111011	8
114	r	11	1100111	7
115	s	7	0011010	7
116	t	8	0110001	7
117	u	20	101110	6
118	v	7	0011011	7
119	w	5	10100111	8
120	x	8	0101011	7
121	y	12	1111100	7
122	z	12	1111011	7
123	{	10	1010001	7
124	|	9	1000011	7
125	}	10	1100101	7
126	~	6	11101110	8
127		8	0101111	7
